"Exposure ID","Exposure Name","Phenotype Name","Estimate","Standard Error","P-value","FDR"
"LBXBCD","Cadmium (ug/L)","BMXBMI",-0.0106544131785014,0.0104668870410151,0.320302533358007,0.443964312666332
"LBXBPB","Lead (ug/dL)","BMXBMI",-0.201676494833137,0.0157852878989807,2.27253133231323e-11,9.14693861256075e-10
"LBXTHG","Mercury, total (ug/L)","BMXBMI",-0.0649132363792478,0.022015772513745,0.00767206841679725,0.0209356443238027
"LBXIHG","Mercury, inorganic (ug/L)","BMXBMI",-0.00136566326503972,0.0232287245884615,0.953673651166551,0.959634111486342
"LBXCOT","Cotinine (ng/mL)","BMXBMI",0.0359769767184959,0.0117605254795705,0.00595756290582981,0.018097502412049
"URXUBA","Barium, urine (ng/mL)","BMXBMI",0.0511805331976272,0.0150152710973398,0.00264433820585531,0.00946085446983791
"URXUBE","Beryllium, urine (ng/mL)","BMXBMI",-0.00313531684536446,0.0147773447641476,0.834019829877566,0.907278328447892
"URXUCD","Cadmium, urine (ng/mL)","BMXBMI",0.0506140323898598,0.0171067979108663,0.00749564946074306,0.0209356443238027
"URXUCO","Cobalt, urine (ng/mL)","BMXBMI",-0.00291690373630367,0.0164169537723081,0.860679873007265,0.929996372846776
"URXUCS","Cesium, urine (ng/mL)","BMXBMI",0.0253831571464878,0.0113399008742721,0.0361571509375302,0.0776173506792315
"URXUMO","Molybdenum, urine (ng/mL)","BMXBMI",0.00751132183930351,0.016828511525471,0.659916594241807,0.764363824985115
"URXUPB","Lead, urine (ng/mL)","BMXBMI",-0.0529280505220031,0.0132484960718366,0.00065748622472083,0.00264638205450134
"URXUPT","Platinum, urine (ng/mL)","BMXBMI",-0.0448406294780607,0.0158486205024759,0.0100462491574893,0.0261303392206621
"URXUSB","Antimony, urine (ng/mL)","BMXBMI",0.0589400986597977,0.02083731420831,0.010062615103609,0.0261303392206621
"URXUTL","Thallium, urine (ng/mL)","BMXBMI",0.0743278436803584,0.011692060727433,2.65307561386004e-06,2.0340246372927e-05
"URXUTU","Tungsten, urine (ng/mL)","BMXBMI",0.0197393206752711,0.0171428896574242,0.262485426367552,0.377322800403355
"URXUUR","Uranium, urine (ng/mL)","BMXBMI",0.0118548389322878,0.0221617202482653,0.609266274413355,0.732028881944405
"LBXRBF","Folate, RBC (ng/mL RBC)","BMXBMI",-0.00650919071793363,0.0123350591291552,0.603240317123313,0.730238278622957
"LBXB12","Vitamin B12, serum (pg/mL)","BMXBMI",-0.204235635861421,0.0102799465140189,4.28439573413851e-15,2.54292213856716e-13
"LBXFOL","Folate, serum (ng/mL)","BMXBMI",-0.189272062132496,0.00957491557852425,4.73836423335496e-15,2.54292213856716e-13
"URXUHG","Mercury, urine (ng/mL)","BMXBMI",NA,NA,NA,NA
"URXUIO","Iodine, urine (ng/mL)","BMXBMI",-0.0359080735522149,0.0191700110460585,0.103201073455539,0.180601878547194
"LBXVID","Vitamin D (ng/mL)","BMXBMI",-0.258547513210922,0.0184356094151958,2.21986641762767e-06,1.78699246619027e-05
"LBXPFOA","Perfluorooctanoic acid","BMXBMI",0.0236200328178414,0.0263954457811846,0.405330727477634,0.526276186483056
"LBXPFOS","Perfluorooctane sulfonic acid","BMXBMI",-0.0101916639740507,0.0326357364197094,0.76539179903572,0.855750553088548
"LBXPFHS","Perfluorohexane sulfonic acid","BMXBMI",-0.090450112782566,0.0415907761672837,0.0725835038352259,0.133463101716217
"LBXEPAH","2-(N-ethyl-PFOSA) acetate","BMXBMI",0.0383832795494721,0.0274258216764064,0.21117501480026,0.311919058558182
"LBXMPAH","2-(N-methyl-PFOSA) acetate","BMXBMI",-0.0103942370349228,0.0296464603526344,0.737864905939612,0.838017265907703
"LBXPFDE","Perfluorodecanoic acid","BMXBMI",-0.0557540975548897,0.0233637020110296,0.0542954026710246,0.105319997952228
"LBXPFHP","Perfluoroheptanoic acid","BMXBMI",0.0454504630481666,0.0288324104747334,0.166013047555957,0.264634659965436
"LBXPFNA","Perfluorononanoic acid","BMXBMI",-0.0664742803626538,0.0437286746871768,0.179284544574568,0.274578722258662
"LBXPFSA","Perfluorooctane sulfonamide","BMXBMI",-0.0985530392131013,0.0476579108738555,0.084128528882488,0.150496590556451
"LBXPFUA","Perfluoroundecanoic acid","BMXBMI",-0.0685616243533319,0.0186599965248941,0.0104014430542984,0.0265814655832071
"LBXPFDO","Perfluorododecanoic acid","BMXBMI",-0.0592615472101963,0.0433610693081081,0.220715446911668,0.323047154116169
"URXMBP","Mono-n-butyl phthalate","BMXBMI",0.00767462258043672,0.0161360282182418,0.63925509640363,0.762370892748032
"URXMCP","Mono-cyclohexyl phthalate","BMXBMI",-0.00552148623433975,0.0196294019074745,0.781243619574506,0.86744981207928
"URXMEP","Mono-ethyl phthalate","BMXBMI",0.108731881311575,0.0161888944415016,1.20417662507746e-06,1.19086291204559e-05
"URXMHP","Mono-(2-ethyl)-hexyl phthalate","BMXBMI",0.0217847592211667,0.0156645923338327,0.178878928939886,0.274578722258662
"URXMNP","Mono-isononyl phthalate","BMXBMI",-0.0129654427102032,0.00901056834802676,0.164913661571202,0.264634659965436
"URXMOP","Mono-n-octyl phthalate","BMXBMI",-0.028288502468618,0.019872525759162,0.169280324828012,0.267197375463823
"URXMZP","Mono-benzyl phthalate","BMXBMI",0.0602247249914548,0.0232935112816008,0.0172558764152657,0.0391295225754618
"URXMNM","Mono-n-methyl phthalate","BMXBMI",0.00749978403578462,0.0236535232308751,0.760439080463861,0.855750553088548
"URXMC1","Mono-(3-carboxypropyl) phthalate","BMXBMI",0.0257493960019359,0.0254068502360535,0.344572350709531,0.45848056582012
