"","Exposure ID","Exposure Name","Phenotype Name","Estimate","Standard Error","P-value","FDR"
"1","LBXBCD","Cadmium (ug/L)","LBXGLU",0.140867410998827,0.0454377675652349,0.00437724837705291,0.0138183723275592
"2","LBXBPB","Lead (ug/dL)","LBXGLU",0.447855574559039,0.0446237448154102,8.88513297583369e-11,2.30019164902398e-09
"3","LBXTHG","Mercury, total (ug/L)","LBXGLU",0.0339104677152912,0.0422466010969943,0.428921150958825,0.615414144712247
"4","LBXIHG","Mercury, inorganic (ug/L)","LBXGLU",0.0218640497312199,0.169089364238636,0.898040943970749,0.954181953390307
"5","LBXCOT","Cotinine (ng/mL)","LBXGLU",-0.00502892970405429,0.0122438278313174,0.684395576707716,0.834755210984411
"6","URXUBA","Barium, urine (ng/mL)","LBXGLU",-0.0187470708600244,0.0753452547172994,0.80531950961991,0.913073528512715
"7","URXUBE","Beryllium, urine (ng/mL)","LBXGLU",0.0431506217369993,0.42200268491429,0.919285431122158,0.954181953390307
"8","URXUCD","Cadmium, urine (ng/mL)","LBXGLU",0.0910229953526606,0.0519315585514036,0.090589887656244,0.194466292168737
"9","URXUCO","Cobalt, urine (ng/mL)","LBXGLU",-0.192617971201061,0.0828020544139767,0.027467741107212,0.0701953383850974
"10","URXUCS","Cesium, urine (ng/mL)","LBXGLU",-0.182917420984821,0.142363632503903,0.209368856144576,0.38304983908269
"11","URXUMO","Molybdenum, urine (ng/mL)","LBXGLU",-0.157970288774843,0.101054615459195,0.129234612475612,0.263376868462957
"12","URXUPB","Lead, urine (ng/mL)","LBXGLU",0.050675485991404,0.0979465485283842,0.608955133868246,0.784480291963876
"13","URXUPT","Platinum, urine (ng/mL)","LBXGLU",-0.896187431667661,0.314897673803727,0.00819253091309338,0.023981772309237
"14","URXUSB","Antimony, urine (ng/mL)","LBXGLU",-0.0953740955622535,0.143976473222474,0.513112854232109,0.682736938275782
"15","URXUTL","Thallium, urine (ng/mL)","LBXGLU",-0.377070672879837,0.140928591191669,0.0123200491056786,0.0341987570002458
"16","URXUTU","Tungsten, urine (ng/mL)","LBXGLU",-0.090367547953664,0.0610023111155327,0.149672509873037,0.293869196214133
"17","URXUUR","Uranium, urine (ng/mL)","LBXGLU",0.0198325337790326,0.120141511259172,0.871243702582022,0.941410980642319
"18","LBXRBF","Folate, RBC (ng/mL RBC)","LBXGLU",0.563828882876029,0.122486341091833,8.2014653472771e-05,0.000347483137082003
"19","LBXB12","Vitamin B12, serum (pg/mL)","LBXGLU",0.130843316365893,0.071661644983709,0.0785561020438741,0.173253868891284
"20","LBXFOL","Folate, serum (ng/mL)","LBXGLU",0.0929087490935434,0.0792612915406321,0.251000817625665,0.425380333028759
